column_name,unique_name
5-fam,FAM_dye
6-carboxy-tetramethylrhodamine,TAMRA_dye
a488,Alexa_dye
a489,Alexa_dye
a490,Alexa_dye
a491,Alexa_dye
a492,Alexa_dye
a493,Alexa_dye
af568-sso,AF568-SSO
alexa,Alexa_dye
alexafluor555,Alexa_dye
at520,ATTO_dye
at521,ATTO_dye
avidin,Avidin
bh3,BH3
bovine serum albumin,Albumin
carboxyfluorescein,FAM_dye
cd63,CD63
cf,FAM_dye
cmln,CmLN
CROP,CROP
CT-B,CT-B
Cy3-labeled Crotamine,Cyanine_dye
Cy5,Cyanine_dye
CLB,CLB
daunorubicin,DNR
Dextran,Dextran
DiI,DiI
dkp_rgd,DKP-RGD
Doxorubicin,DOX
EDB_S11,EBD_S11
eGFP,GFP_dye
ELP-DOXO,ELP-DOXO
ELP-GFLG-NCDox,ELP-GFLG-NCDox
ELPBC,ELPBC
fam,FAM_dye
FITC,FITC_dye
fluorescein,Flu
folic acid,folic_acid
galactose,galactose
galactosidase,galactosidase
GAPDH siRNA,siRNA
GFP,GFP_dye
glucose,glucose
glucuronidase,glucuronidase
GpYEEI,GpYEEI
H,H
HKII,HKII
Hph1Hph1dsRBD,dsRBD
HPMA,HPMA
Insulin-PEG-LMWP,Insulin-PEG-LMWP
IR800,IR_dye
KLA,KLA
Liposomes,Liposomes
mannose,mannose
mCherry,mCherry_dye
MS,microspheres
MTS,MTS
MTSL,MTSL
MTSLR,MTSLR
Natamycin,Natamycin
NBD,NBD_linker
OH,OH
Oleyl,Oleyl
oligonucleotides,oligonucleotides
PA,PA
pCAP,pCAP
PCP,pCAP
PDZ,TAZ
Phage,Phage
plasmid,Plasmid
PMO,PMO
QD,Qdots
quantum dots,Qdots
Rho,Rhod
Rhod,Rhod
rhodamine,Rhod
sa,Avidin
siRNA,siRNA
SLO,Streptolysin-O
streptavidin,Avidin
SNAP,SNAP_enzyme
SS-DOX,DOX
TAZ,TAZ
Texas Red,TR_dye
tmr,TAMRA_dye
Trehalose,Trehalose
tam,TAMRA_dye
tamra,TAMRA_dye
Tf,Transferrin
TSL,Liposomes